index,paramerter,true,pred,likelihood_lifespan,n
126,1,12.09494400024414,9.579118728637695,11.903448676616588,5000
126,2,68.3183364868164,67.67950439453125,67.23907904487953,5000
126,3,94.24608612060547,91.49136352539062,92.05880161785109,5000
127,1,57.2669563293457,53.930416107177734,54.693500729158245,5000
127,2,83.42435455322266,83.92506408691406,84.50154330573098,5000
127,3,26.993122100830078,25.54021644592285,26.152528176776315,5000
128,1,27.767263412475586,30.10563850402832,30.102865868947713,5000
128,2,91.75508880615234,90.51766204833984,93.15462407929388,5000
128,3,77.04164123535156,76.52652740478516,76.85902556865713,5000
129,1,58.43098068237305,58.63535690307617,57.516544241181215,5000
129,2,53.432559967041016,55.894691467285156,54.39851364318666,5000
129,3,27.19806671142578,27.648313522338867,27.341252778477333,5000
130,1,75.83379364013672,73.66204071044922,74.31083314848725,5000
130,2,43.77788162231445,42.4770393371582,42.80818017936605,5000
130,3,22.452987670898438,23.470317840576172,24.009108975801443,5000
131,1,99.38738250732422,83.62078094482422,84.29578450455192,5000
131,2,12.51050090789795,13.945196151733398,13.509442765453693,5000
131,3,83.8011474609375,84.99517059326172,86.42852751805711,5000
132,1,54.72996139526367,58.78216552734375,59.65321127107237,5000
132,2,40.25722122192383,42.367855072021484,42.03694838703145,5000
132,3,87.9054183959961,87.76803588867188,90.16146564372224,5000
133,1,69.60160064697266,70.97530364990234,71.95223678863827,5000
133,2,25.280080795288086,27.14865493774414,25.621952918415623,5000
133,3,94.15064239501953,88.7965316772461,100.13940090607488,5000
134,1,26.446962356567383,27.29487419128418,27.096458441720312,5000
134,2,58.58530807495117,61.704925537109375,60.97819529569224,5000
134,3,47.655826568603516,48.53093338012695,48.50574478039598,5000
135,1,46.339378356933594,46.81952667236328,47.81975219479769,5000
135,2,49.56607437133789,51.38829803466797,51.680933568792405,5000
135,3,95.70034790039062,86.14503479003906,89.08859762933801,5000
136,1,47.90917205810547,44.717369079589844,inf,5000
136,2,9.4829683303833,9.516247749328613,0.0,5000
136,3,94.41195678710938,95.14459228515625,inf,5000
137,1,63.307533264160156,62.226558685302734,63.9826288389177,5000
137,2,6.9448652267456055,5.086362838745117,6.417028960014627,5000
137,3,10.328251838684082,9.590222358703613,10.621892506408763,5000
138,1,51.965423583984375,47.13454818725586,0.0,5000
138,2,94.54894256591797,95.76459503173828,3.861938620703868e+225,5000
138,3,82.25817108154297,79.59030151367188,5.5368539146837936e+209,5000
139,1,35.49225616455078,34.576473236083984,34.75003211184277,5000
139,2,76.98536682128906,74.20902252197266,75.33184797212081,5000
139,3,87.33399963378906,82.06070709228516,80.62116452461568,5000
140,1,5.123110771179199,8.317618370056152,8.547130446112773,5000
140,2,33.21318054199219,32.789974212646484,31.934681374136673,5000
140,3,30.906892776489258,31.968345642089844,31.289874562436676,5000
141,1,59.24104690551758,61.50687026977539,60.72401548950934,5000
141,2,7.910916328430176,7.8611907958984375,8.09041798151432,5000
141,3,59.15158462524414,58.58259963989258,58.622776406056644,5000
142,1,75.1990737915039,77.91976928710938,79.74783717384507,5000
